Amount,Tip,Gender,Smoker,Day,Time,Partysize,TipPct
43.11,5.0,Female,Yes,Thur,Lunch,4,11.59823706796567
13.0,2.0,Female,Yes,Thur,Lunch,2,15.384615384615385
13.51,2.0,Male,Yes,Thur,Lunch,2,14.803849000740193
18.71,4.0,Male,Yes,Thur,Lunch,3,21.378941742383752
12.74,2.01,Female,Yes,Thur,Lunch,2,15.777080062794347
13.0,2.0,Female,Yes,Thur,Lunch,2,15.384615384615385
16.4,2.5,Female,Yes,Thur,Lunch,2,15.243902439024392
20.53,4.0,Male,Yes,Thur,Lunch,4,19.48368241597662
16.47,3.23,Female,Yes,Thur,Lunch,3,19.611414693381906
26.59,3.41,Male,Yes,Sat,Dinner,3,12.82437006393381
38.73,3.0,Male,Yes,Sat,Dinner,4,7.74593338497289
24.27,2.03,Male,Yes,Sat,Dinner,2,8.364235681911826
12.76,2.23,Female,Yes,Sat,Dinner,2,17.476489028213166
30.06,2.0,Male,Yes,Sat,Dinner,3,6.653359946773121
25.89,5.16,Male,Yes,Sat,Dinner,4,19.930475086906142
48.33,9.0,Male,No,Sat,Dinner,4,18.6219739292365
13.27,2.5,Female,Yes,Sat,Dinner,2,18.839487565938207
28.17,6.5,Female,Yes,Sat,Dinner,3,23.074192403265883
12.9,1.1,Female,Yes,Sat,Dinner,2,8.527131782945736
28.15,3.0,Male,Yes,Sat,Dinner,5,10.657193605683837
11.59,1.5,Male,Yes,Sat,Dinner,2,12.94219154443486
7.74,1.44,Male,Yes,Sat,Dinner,2,18.6046511627907
30.14,3.09,Female,Yes,Sat,Dinner,2,10.252156602521566
12.16,2.2,Male,Yes,Fri,Lunch,2,18.092105263157894
13.42,3.48,Female,Yes,Fri,Lunch,2,25.93144560357675
8.58,1.92,Male,Yes,Fri,Lunch,1,22.377622377622377
15.98,3.0,Female,No,Fri,Lunch,3,18.773466833541928
13.42,1.58,Male,Yes,Fri,Lunch,2,11.773472429210134
16.27,2.5,Female,Yes,Fri,Lunch,2,15.365703749231715
10.09,2.0,Female,Yes,Fri,Lunch,2,19.821605550049554
20.45,3.0,Male,No,Sat,Dinner,4,14.66992665036675
13.28,2.72,Male,No,Sat,Dinner,2,20.481927710843376
22.12,3.085,Female,No,Sun,Dinner,2,13.946654611211573
24.01,2.0,Male,Yes,Sat,Dinner,4,8.329862557267804
15.69,3.0,Male,Yes,Sat,Dinner,3,19.120458891013385
11.61,3.39,Male,No,Sat,Dinner,2,29.198966408268735
10.77,1.47,Male,No,Sat,Dinner,2,13.649025069637883
15.53,3.0,Male,Yes,Sun,Dinner,2,19.31745009658725
10.07,1.25,Male,No,Sat,Dinner,2,12.413108242303872
12.6,1.0,Male,Yes,Sat,Dinner,2,7.936507936507936
32.83,1.17,Male,Yes,Sat,Dinner,2,3.563813585135547
35.83,4.67,Female,No,Sat,Dinner,3,13.033770583310075
29.03,5.92,Male,No,Sat,Dinner,2,20.39269720978298
22.67,2.0,Male,Yes,Sat,Dinner,2,8.822232024702249
17.82,1.75,Male,No,Sat,Dinner,2,9.820426487093153
18.78,3.0,Female,No,Thur,Lunch,2,15.974440894568689
19.29,3.23,Male,Yes,Thur,Dinner,3,16.744427164333853
24.21,3.19,Female,No,Sun,Dinner,2,13.176373399421726
18.23,2.18,Female,Yes,Sat,Lunch,3,11.958310477235328
20.5,2.1,Male,Yes,Sat,Dinner,2,10.24390243902439
30.87,3.69,Male,Yes,Sun,Lunch,3,11.9533527696793
24.56,2.88,Female,No,Sun,Lunch,2,11.726384364820847
13.69,2.0,Female,Yes,Thur,Lunch,2,14.60920379839299
17.89,2.98,Male,Yes,Thur,Dinner,3,16.657350475125767
22.89,3.0,Female,No,Thur,Dinner,2,13.106159895150721
19.1,3.1,Male,No,Sat,Lunch,2,16.230366492146597
9.87,1.68,Female,No,Sat,Lunch,1,17.02127659574468
19.65,2.89,Male,Yes,Sun,Dinner,2,14.707379134860052
25.68,3.87,Female,Yes,Sat,Lunch,3,15.070093457943926
33.87,4.0,Female,No,Sun,Lunch,4,11.8098612341305
40.45,4.85,Male,Yes,Thur,Dinner,4,11.99011124845488
33.76,3.29,Female,No,Sat,Dinner,3,9.745260663507109
29.87,3.7,Female,No,Sun,Dinner,2,12.387010378305993
8.88,1.5,Male,Yes,Sun,Dinner,1,16.89189189189189
13.89,2.38,Female,No,Fri,Lunch,2,17.134629229661623
29.99,3.39,Female,No,Fri,Dinner,3,11.303767922640882
43.8,4.39,Male,Yes,Sat,Lunch,3,10.02283105022831
8.9,1.5,Male,No,Fri,Lunch,1,16.853932584269664
23.91,2.65,Male,Yes,Fri,Dinner,2,11.083228774571309
33.8,3.0,Female,No,Fri,Dinner,3,8.875739644970416
40.9,4.67,Female,Yes,Sat,Lunch,3,11.418092909535453
22.66,2.5,Male,No,Sun,Lunch,3,11.032656663724625
29.76,3.0,Female,No,Sun,Lunch,3,10.080645161290322
15.0,2.5,Female,Yes,Sat,Dinner,2,16.666666666666664
22.5,2.6,Male,No,Thur,Lunch,3,11.555555555555557
33.6,3.0,Male,No,Fri,Dinner,2,8.928571428571429
25.65,2.56,Female,Yes,Sat,Lunch,2,9.980506822612087
30.0,3.0,Female,No,Sun,Lunch,3,10.0
16.7,1.5,Male,Yes,Thur,Dinner,2,8.982035928143713
25.55,2.3,Female,No,Fri,Lunch,3,9.001956947162427
27.79,2.59,Female,No,Sat,Dinner,2,9.319899244332493
30.3,2.15,Male,Yes,Thur,Dinner,3,7.095709570957095
10.1,1.8,Female,No,Thur,Lunch,2,17.821782178217823
16.68,1.9,Female,Yes,Sun,Dinner,2,11.390887290167866
16.68,1.9,Female,Yes,Sun,Dinner,2,11.390887290167866
19.9,2.0,Male,Yes,Sun,Lunch,2,10.050251256281408
30.35,3.3,Female,No,Sat,Lunch,3,10.87314662273476
44.34,4.1,Male,Yes,Sun,Dinner,4,9.246729815065402
23.45,2.4,Male,No,Sat,Lunch,2,10.23454157782516
17.7,2.35,Female,No,Thur,Lunch,2,13.27683615819209
24.5,2.69,Male,No,Fri,Lunch,3,10.979591836734693
18.0,1.9,Female,Yes,Thur,Dinner,2,10.555555555555555
27.8,2.59,Male,Yes,Fri,Lunch,3,9.316546762589928
35.6,13.55,Male,No,Fri,Dinner,3,38.06179775280899
29.9,2.1,Female,No,Fri,Lunch,3,7.023411371237459
16.57,1.79,Female,Yes,Sun,Dinner,2,10.8026554013277
8.88,1.0,Male,Yes,Fri,Lunch,1,11.26126126126126
20.66,1.9,Male,No,Thur,Dinner,2,9.19651500484027
44.4,3.89,Female,No,Sun,Lunch,3,8.761261261261263
32.56,2.96,Female,Yes,Sat,Lunch,3,9.09090909090909
27.8,2.59,Male,Yes,Fri,Lunch,3,9.316546762589928
29.9,2.1,Female,No,Fri,Lunch,3,7.023411371237459
16.57,1.79,Female,Yes,Sun,Dinner,2,10.8026554013277
8.88,1.0,Male,Yes,Fri,Lunch,1,11.26126126126126
20.66,1.9,Male,No,Thur,Dinner,2,9.19651500484027
44.4,3.89,Female,No,Sun,Lunch,3,8.761261261261263
32.56,2.96,Female,Yes,Sat,Lunch,3,9.09090909090909
14.56,3.45,Male,Yes,Sun,Dinner,3,23.695054945054945
10.07,11.25,Male,No,Sat,Dinner,2,111.71797418073486
22.01,3.23,Female,Yes,Fri,Lunch,2,14.675147660154476
13.69,2.0,Female,Yes,Thur,Lunch,2,14.60920379839299
21.34,2.98,Male,Yes,Thur,Dinner,3,13.964386129334583
12.89,3.0,Female,No,Thur,Dinner,2,23.273855702094647
19.65,3.1,Male,No,Sat,Lunch,2,15.77608142493639
1.01,1.68,Female,No,Sat,Lunch,1,166.33663366336634
19.65,2.09,Male,Yes,Sun,Dinner,2,10.636132315521628
21.56,3.66,Female,Yes,Sat,Lunch,3,16.97588126159555
28.87,3.67,Female,No,Sun,Lunch,3,12.712157949428471
22.01,4.0,Male,Yes,Thur,Dinner,4,18.17355747387551
19.76,2.21,Male,No,Sat,Dinner,3,11.184210526315788
19.09,3.0,Female,No,Thur,Dinner,3,15.71503404924044
23.9,3.98,Male,Yes,Thur,Dinner,3,16.652719665271967
20.09,20.96,Female,No,Sun,Dinner,4,104.33051269288202
14.56,2.78,Female,Yes,Sat,Lunch,2,19.09340659340659
19.23,2.01,Female,No,Sat,Lunch,3,10.452418096723868
28.45,2.45,Female,No,Thur,Dinner,2,8.611599297012303
33.45,4.67,Female,Yes,Sat,Lunch,3,13.961136023916293
24.67,2.5,Male,No,Sun,Lunch,3,10.133765707336845
26.9,3.0,Female,No,Sun,Lunch,3,11.152416356877325
17.6,2.5,Female,Yes,Sat,Dinner,2,14.204545454545453
21.0,2.6,Male,No,Thur,Lunch,3,12.380952380952381
30.15,3.0,Male,No,Fri,Dinner,2,9.950248756218906
29.35,2.56,Female,Yes,Sat,Lunch,2,8.722316865417376
31.5,3.0,Female,No,Sun,Lunch,3,9.523809523809524
14.69,1.5,Male,Yes,Thur,Dinner,2,10.211027910142954
24.0,2.3,Female,No,Fri,Lunch,3,9.583333333333332
16.65,2.94,Female,No,Sun,Dinner,3,17.65765765765766
21.56,3.34,Male,Yes,Sat,Lunch,3,15.491651205936922
25.68,2.78,Female,No,Sun,Lunch,3,10.825545171339563
22.33,3.9,Male,Yes,Thur,Dinner,4,17.465293327362293
18.67,2.09,Female,No,Sat,Dinner,3,11.1944295661489
18.09,3.45,Female,No,Thur,Lunch,3,19.071310116086238
21.67,3.0,Male,Yes,Thur,Dinner,4,13.844023996308257
27.23,2.9,Male,No,Fri,Lunch,3,10.650018362100624
18.89,22.23,Male,No,Sun,Lunch,5,117.68131286394919
16.37,3.21,Female,Yes,Sat,Lunch,2,19.609040928527794
18.99,3.3,Female,No,Thur,Lunch,2,17.377567140600316
6.69,0.01,Male,No,Thur,Dinner,3,0.14947683109118087
21.37,1.0,Female,No,Sun,Lunch,3,4.679457182966776
13.28,2.22,Female,Yes,Sat,Lunch,3,16.71686746987952
16.415,1.99,Female,No,Thur,Lunch,1,12.12305817849528
9.96,2.87,Female,Yes,Fri,Dinner,4,28.815261044176705
18.38,3.01,Female,No,Sat,Dinner,3,16.376496191512512
16.69,2.68,Male,No,Sun,Lunch,3,16.057519472738164
22.38,3.01,Male,No,Sun,Dinner,2,13.449508489722966
24.55,2.0,Male,No,Sat,Lunch,2,8.146639511201629
20.0,12.9,Female,Yes,Sun,Dinner,5,64.5
27.56,3.59,Female,Yes,Sun,Dinner,4,13.02612481857765
